This is Ipopt version 3.13.4, running with linear solver mumps.
NOTE: Other linear solvers might be more efficient (see Ipopt documentation).

Number of nonzeros in equality constraint Jacobian...:      540
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:      537

Total number of variables............................:      270
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      270
                     variables with only upper bounds:        0
Total number of equality constraints.................:       93
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.8448993e+02 1.00e+00 4.10e+01   0.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.8447720e+02 3.43e+00 5.52e+04  -6.0 2.78e+03    -  3.56e-04 3.56e-04h  1
   2  1.8089080e+02 3.21e+00 8.14e+07   1.0 8.92e+00   6.0 1.00e+00 1.10e-01h  1
   3  1.6533735e+02 7.86e-01 7.73e+07   2.5 3.64e-01   8.2 1.00e+00 1.00e+00f  1
   4  1.6211514e+02 4.91e-01 6.23e+07   3.0 1.63e-01   8.7 8.37e-01 1.00e+00h  1
   5  1.5839884e+02 7.44e-01 1.99e+07   2.4 1.09e-01   8.2 1.00e+00 1.00e+00f  1
   6  1.5575510e+02 2.58e-01 4.75e+06   2.1 1.28e-01   7.7 1.00e+00 1.00e+00f  1
   7  1.5580329e+02 1.45e-01 1.49e+06   0.8 6.73e-02   7.2 1.00e+00 1.00e+00h  1
   8  1.5931746e+02 2.32e-02 1.53e+05  -0.2 3.23e-02   6.7 1.00e+00 1.00e+00h  1
   9  1.5955773e+02 1.56e-04 1.34e+04  -1.7 5.91e-03   6.3 1.00e+00 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  1.5955567e+02 1.67e-04 1.05e+02  -3.6 1.16e-04   5.8 1.00e+00 1.00e+00h  1
  11  1.5955169e+02 5.88e-05 1.09e+02  -5.7 2.21e-04   5.3 1.00e+00 1.00e+00h  1
  12  1.5957164e+02 1.18e-04 1.03e+02  -7.8 6.80e-04   4.8 1.00e+00 1.00e+00h  1
  13  1.5909370e+02 1.87e-02 1.10e+02  -7.9 3.40e-01    -  1.00e+00 2.50e-01f  3
  14  1.5904337e+02 9.27e-05 1.53e+02  -9.5 4.64e-03   4.4 1.00e+00 1.00e+00h  1
  15  1.5902335e+02 1.58e-04 1.67e+02 -10.6 5.28e-02    -  1.00e+00 1.25e-01f  4
  16  1.6614842e+02 6.81e-04 1.79e+02 -11.0 6.62e-02    -  1.00e+00 1.00e+00H  1
  17  1.6403842e+02 3.20e-02 1.04e+02 -11.0 1.03e-01    -  1.00e+00 1.00e+00f  1
  18  1.6168933e+02 3.59e-04 1.18e+02 -11.0 1.14e-02   3.9 1.00e+00 1.00e+00f  1
  19  1.6159420e+02 2.04e-04 8.83e+01 -11.0 6.09e-02    -  1.00e+00 1.00e+00F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.6159430e+02 2.03e-04 2.10e+02 -11.0 1.74e-01    -  1.00e+00 3.91e-03h  9
  21  1.6146568e+02 6.23e-02 1.18e+02 -11.0 3.12e-01    -  1.00e+00 5.00e-01f  2
  22  1.6354774e+02 3.82e-04 1.40e+02 -11.0 2.35e-01    -  1.00e+00 1.00e+00H  1
  23  1.6100664e+02 1.99e+00 1.02e+02 -11.0 1.38e+00    -  2.74e-01 6.18e-01F  1
  24  1.6094107e+02 1.55e+00 1.51e+02 -11.0 5.96e-01    -  2.85e-09 2.50e-01h  3
  25  1.6143270e+02 1.22e+00 1.57e+02 -11.0 7.20e-01    -  1.00e+00 2.50e-01h  3
  26  1.6135438e+02 9.38e-01 1.05e+02 -11.0 1.15e+00    -  3.26e-01 2.50e-01f  3
  27  1.6136662e+02 5.00e-01 1.77e+02 -11.0 1.63e-01   3.4 1.00e+00 5.00e-01h  2
  28  1.6121293e+02 3.78e-01 1.34e+02 -11.0 1.07e-01    -  1.00e+00 2.50e-01h  3
  29  1.6125754e+02 3.31e-01 1.18e+02 -11.0 1.01e-01    -  1.00e+00 1.25e-01h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  30  1.6128712e+02 1.71e-01 1.67e+02 -11.0 9.95e-02    -  1.00e+00 5.00e-01h  2
  31  1.6115957e+02 8.68e-02 1.66e+02 -11.0 8.19e-02    -  1.00e+00 5.00e-01f  2
  32  1.6704784e+02 4.00e-02 1.41e+02 -11.0 1.08e-01    -  1.00e+00 1.00e+00h  1
  33  1.6611896e+02 7.05e-02 1.68e+02 -11.0 1.17e+00    -  1.00e+00 1.39e-01f  3
  34  1.6321658e+02 7.21e-02 1.93e+02 -11.0 1.37e-01    -  1.00e+00 1.00e+00f  1
  35  1.6101508e+02 4.87e+00 1.03e+02 -11.0 4.42e+00    -  9.63e-02 2.67e-01F  1
  36  1.6039355e+02 6.02e+00 1.15e+02 -11.0 7.95e+00    -  3.73e-08 1.18e-01h  1
  37  1.6035174e+02 5.96e+00 1.76e+02 -11.0 5.30e+00    -  5.21e-02 9.06e-03h  1
  38  1.6006704e+02 5.01e+00 1.05e+02 -11.0 9.29e-01    -  9.91e-08 1.75e-01h  1
  39  1.5995032e+02 5.23e+00 1.27e+02 -11.0 1.27e+01    -  1.70e-07 3.34e-02h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  40  1.5995026e+02 5.23e+00 1.34e+02 -11.0 1.25e+02    -  4.22e-03 1.30e-06h  1
  41  1.5991239e+02 1.65e+00 2.94e+02 -11.0 6.24e-01   2.9 7.72e-09 1.00e+00h  1
  42  1.6015056e+02 1.30e+00 3.15e+02 -11.0 5.08e-01    -  4.53e-05 2.50e-01h  3
  43  1.6488192e+02 1.84e-01 1.42e+02 -11.0 2.83e-01    -  3.47e-01 1.00e+00h  1
  44  1.6392356e+02 1.74e-01 1.12e+02 -11.0 1.02e+00    -  8.31e-01 5.16e-02f  5
  45  1.7591662e+02 1.71e-02 1.55e+02 -11.0 3.30e-01    -  1.00e+00 1.00e+00H  1
  46  1.7512167e+02 3.17e-02 1.27e+02 -11.0 3.08e-01    -  1.00e+00 1.00e+00F  1
  47  1.7507979e+02 7.50e-02 1.26e+02 -11.0 1.21e+02    -  8.00e-03 1.16e-03f  3
  48  1.7503110e+02 7.98e-02 1.58e+02 -11.0 1.66e+01    -  6.29e-02 1.81e-03f  5
  49  1.6879620e+02 6.59e-02 2.43e+02 -11.0 2.80e-01    -  8.94e-01 1.00e+00F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  1.6389577e+02 3.42e-02 9.72e+01 -11.0 2.51e-01    -  1.00e+00 1.00e+00F  1
  51  1.6371785e+02 2.41e-02 2.55e+02 -11.0 8.32e-01    -  7.52e-01 1.21e-01f  4
  52  1.6354453e+02 1.00e-01 1.36e+02 -11.0 2.97e+01    -  2.79e-02 4.44e-03f  3
  53  1.6517281e+02 5.26e-03 1.63e+02 -11.0 3.13e-02   2.5 1.00e+00 1.00e+00h  1
  54  1.6517878e+02 5.26e-03 1.35e+02 -11.0 2.64e+00    -  4.75e-01 1.38e-04h 12
  55  1.7783416e+02 2.81e-03 1.96e+02 -11.0 2.90e-01    -  1.00e+00 1.00e+00H  1
  56  1.7592058e+02 8.53e-04 1.40e+02 -11.0 7.49e-02   2.0 1.00e+00 1.00e+00F  1
  57  1.7528522e+02 2.65e-03 1.94e+02 -11.0 2.91e+00    -  2.69e-01 8.15e-03f  6
  58  1.7470239e+02 3.15e-03 2.29e+02 -11.0 1.04e+00    -  5.29e-01 9.95e-03f  7
  59  1.6725913e+02 1.65e-03 1.38e+02 -11.0 1.58e-01   1.5 1.00e+00 1.00e+00F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  1.6481875e+02 2.49e-02 1.04e+02 -11.0 6.58e-01    -  7.92e-01 1.25e-01f  4
  61  1.6539411e+02 8.17e-03 1.16e+02 -11.0 2.82e-01    -  1.00e+00 1.00e+00H  1
  62  1.6885984e+02 8.40e-03 9.65e+01 -11.0 1.40e-01   1.0 1.00e+00 1.00e+00H  1
  63  1.6733493e+02 3.82e-04 1.63e+02 -11.0 7.63e-02   0.5 1.00e+00 1.00e+00F  1
  64  1.6289129e+02 4.31e-01 1.53e+02 -11.0 9.17e-01    -  1.00e+00 5.00e-01f  2
  65  1.6365157e+02 3.83e-02 1.16e+02 -11.0 9.50e-02   0.1 1.00e+00 1.00e+00h  1
