string
Minimization with t = 0.3000 : b'Invalid option encountered.'
Minimization with t = 0.3100 : b'Invalid option encountered.'
Minimization with t = 0.3200 : b'Invalid option encountered.'
Minimization with t = 0.3300 : b'Invalid option encountered.'
Minimization with t = 0.3700 : b'Invalid option encountered.'
Minimization with t = 0.3800 : b'Invalid option encountered.'
Minimization with t = 0.3900 : b'Invalid option encountered.'
Minimization with t = 0.4000 : b'Invalid option encountered.'
Minimization with t = 0.4100 : b'Invalid option encountered.'
Minimization with t = 0.4200 : b'Invalid option encountered.'
Minimization with t = 0.4300 : b'Invalid option encountered.'
Minimization with t = 0.4400 : b'Invalid option encountered.'
Minimization with t = 0.4500 : b'Invalid option encountered.'
Minimization with t = 0.4600 : b'Invalid option encountered.'
Minimization with t = 0.4700 : b'Invalid option encountered.'
Minimization with t = 0.4800 : b'Invalid option encountered.'
Minimization with t = 0.5100 : b'Invalid option encountered.'
Minimization with t = 0.7000 : b'Invalid option encountered.'
Minimization with t = 0.9600 : b'Invalid option encountered.'
